ppcnt: 0, rega0: 0, event: 0
ppcnt: 1, rega0: 145649100, event: 0
ppcnt: 2, rega0: 83997519, event: 0
ppcnt: 3, rega0: 41998756, event: 0
ppcnt: 4, rega0: 41998756, event: 0
ppcnt: 5, rega0: 41998755, event: 0
ppcnt: 6, rega0: 41998756, event: 0
ppcnt: 7, rega0: 41998755, event: 0
ppcnt: 8, rega0: 41998755, event: 0
ppcnt: 9, rega0: 41998755, event: 0
ppcnt: 10, rega0: 41998755, event: 0
ppcnt: 11, rega0: 41998755, event: 0
ppcnt: 12, rega0: 41998755, event: 0
ppcnt: 13, rega0: 41998755, event: 0
ppcnt: 14, rega0: 41998755, event: 0
ppcnt: 15, rega0: 41998754, event: 0
ppcnt: 16, rega0: 41998754, event: 33754292
ppcnt: 17, rega0: 3294552, event: 3173786
ppcnt: 18, rega0: 38704202, event: 4359
ppcnt: 19, rega0: 41998754, event: 4359
ppcnt: 20, rega0: 41998754, event: 4359
ppcnt: 21, rega0: 41998754, event: 4359
ppcnt: 22, rega0: 41998753, event: 4359
ppcnt: 23, rega0: 41998754, event: 4359
ppcnt: 24, rega0: 41998754, event: 4359
ppcnt: 25, rega0: 41998752, event: 4359
ppcnt: 26, rega0: 41998754, event: 4359
ppcnt: 27, rega0: 41998753, event: 4359
ppcnt: 28, rega0: 41998754, event: 4359
ppcnt: 29, rega0: 41998753, event: 4359
ppcnt: 30, rega0: 41998753, event: 4359
ppcnt: 31, rega0: 41998754, event: 4359
ppcnt: 32, rega0: 41998753, event: 4359
ppcnt: 33, rega0: 41998753, event: 4359
ppcnt: 34, rega0: 41998754, event: 4359
ppcnt: 35, rega0: 41998753, event: 4359
ppcnt: 36, rega0: 41998753, event: 4359
ppcnt: 37, rega0: 41998753, event: 4359
ppcnt: 38, rega0: 41998753, event: 4359
ppcnt: 39, rega0: 41998753, event: 4359
ppcnt: 40, rega0: 41998753, event: 4359
ppcnt: 41, rega0: 41998753, event: 4359
ppcnt: 42, rega0: 41998753, event: 4359
ppcnt: 43, rega0: 41998753, event: 4359
ppcnt: 44, rega0: 41998752, event: 4359
ppcnt: 45, rega0: 41998753, event: 4359
ppcnt: 46, rega0: 41998753, event: 4359
ppcnt: 47, rega0: 41998752, event: 4359
ppcnt: 48, rega0: 41998753, event: 4359
ppcnt: 49, rega0: 41998752, event: 4359
ppcnt: 50, rega0: 41998753, event: 4359
ppcnt: 51, rega0: 41998753, event: 4359
ppcnt: 52, rega0: 41998752, event: 4359
ppcnt: 53, rega0: 41998753, event: 4359
ppcnt: 54, rega0: 41998752, event: 4359
ppcnt: 55, rega0: 41998753, event: 4359
ppcnt: 56, rega0: 41998752, event: 4359
ppcnt: 57, rega0: 41998753, event: 4359
ppcnt: 58, rega0: 41998752, event: 4359
ppcnt: 59, rega0: 41998752, event: 4359
ppcnt: 60, rega0: 41998752, event: 4359
ppcnt: 61, rega0: 41998752, event: 54
ppcnt: 62, rega0: 41998752, event: 54
ppcnt: 63, rega0: 41998753, event: 54
ppcnt: 64, rega0: 41998751, event: 54
ppcnt: 65, rega0: 41998752, event: 54
ppcnt: 66, rega0: 41998752, event: 54
ppcnt: 67, rega0: 41998752, event: 54
ppcnt: 68, rega0: 3107225, event: 54
ppcnt: 69, rega0: 24156476, event: 54
ppcnt: 71, rega0: 73, event: 54
ppcnt: 72, rega0: 499150, event: 55
ppcnt: 73, rega0: 41998751, event: 55
ppcnt: 74, rega0: 41998751, event: 54
ppcnt: 75, rega0: 41998753, event: 55
ppcnt: 76, rega0: 41998752, event: 54
ppcnt: 77, rega0: 41998752, event: 54
ppcnt: 78, rega0: 41998751, event: 54
ppcnt: 79, rega0: 41998752, event: 55
ppcnt: 80, rega0: 41998752, event: 54
ppcnt: 81, rega0: 41998752, event: 54
ppcnt: 82, rega0: 41998752, event: 54
ppcnt: 83, rega0: 41998752, event: 54
ppcnt: 84, rega0: 41998751, event: 54
ppcnt: 85, rega0: 41998751, event: 54
ppcnt: 86, rega0: 41998751, event: 54
ppcnt: 87, rega0: 41998751, event: 54
ppcnt: 88, rega0: 41998752, event: 54
ppcnt: 89, rega0: 41998750, event: 55
ppcnt: 90, rega0: 41998752, event: 54
ppcnt: 91, rega0: 41998750, event: 54
ppcnt: 92, rega0: 41998751, event: 54
ppcnt: 93, rega0: 41998751, event: 55
ppcnt: 94, rega0: 41998750, event: 54
ppcnt: 95, rega0: 41998751, event: 56
ppcnt: 96, rega0: 41998751, event: 54
ppcnt: 97, rega0: 41998751, event: 54
ppcnt: 98, rega0: 41998751, event: 55
ppcnt: 99, rega0: 41998750, event: 54
ppcnt: 100, rega0: 41998750, event: 55
ppcnt: 101, rega0: 41998751, event: 54
ppcnt: 102, rega0: 41998750, event: 55
ppcnt: 103, rega0: 41998750, event: 54
ppcnt: 104, rega0: 41998751, event: 54
ppcnt: 105, rega0: 41998750, event: 55
ppcnt: 106, rega0: 41998750, event: 54
ppcnt: 107, rega0: 41998750, event: 54
ppcnt: 108, rega0: 41998751, event: 54
ppcnt: 109, rega0: 41998750, event: 54
ppcnt: 110, rega0: 41998750, event: 55
ppcnt: 111, rega0: 41998750, event: 54
ppcnt: 112, rega0: 41998749, event: 54
ppcnt: 113, rega0: 41998751, event: 54
ppcnt: 114, rega0: 41998750, event: 54
ppcnt: 115, rega0: 41998749, event: 54
ppcnt: 116, rega0: 41998750, event: 55
ppcnt: 117, rega0: 41998750, event: 54
ppcnt: 118, rega0: 41998750, event: 54
ppcnt: 119, rega0: 41998749, event: 54
ppcnt: 120, rega0: 41998750, event: 54
ppcnt: 121, rega0: 41998749, event: 54
ppcnt: 122, rega0: 41998750, event: 54
ppcnt: 123, rega0: 41998750, event: 54
ppcnt: 124, rega0: 41998750, event: 54
ppcnt: 125, rega0: 41998749, event: 54
ppcnt: 126, rega0: 41998750, event: 55
ppcnt: 127, rega0: 41998749, event: 54
ppcnt: 128, rega0: 41998750, event: 54
ppcnt: 129, rega0: 41998749, event: 54
ppcnt: 130, rega0: 41998750, event: 54
ppcnt: 131, rega0: 41998750, event: 55
ppcnt: 132, rega0: 41998749, event: 54
ppcnt: 133, rega0: 41998750, event: 54
ppcnt: 134, rega0: 41998749, event: 54
ppcnt: 135, rega0: 41998749, event: 54
ppcnt: 136, rega0: 41998749, event: 55
ppcnt: 137, rega0: 41998750, event: 54
ppcnt: 138, rega0: 41998749, event: 54
ppcnt: 139, rega0: 41998749, event: 54
ppcnt: 140, rega0: 41998750, event: 54
ppcnt: 141, rega0: 41998749, event: 55
ppcnt: 142, rega0: 41998750, event: 55
ppcnt: 143, rega0: 41998749, event: 54
ppcnt: 144, rega0: 41998749, event: 54
ppcnt: 145, rega0: 41998749, event: 54
ppcnt: 146, rega0: 41998750, event: 54
ppcnt: 147, rega0: 41998749, event: 55
ppcnt: 148, rega0: 41998749, event: 54
ppcnt: 149, rega0: 41998749, event: 55
ppcnt: 150, rega0: 41998749, event: 54
ppcnt: 151, rega0: 41998749, event: 54
ppcnt: 152, rega0: 41998749, event: 55
ppcnt: 153, rega0: 41998750, event: 54
ppcnt: 154, rega0: 41998748, event: 54
ppcnt: 155, rega0: 41998749, event: 54
ppcnt: 156, rega0: 41998749, event: 54
ppcnt: 157, rega0: 41998749, event: 54
ppcnt: 158, rega0: 41998749, event: 55
ppcnt: 159, rega0: 41998749, event: 54
ppcnt: 160, rega0: 41998749, event: 54
ppcnt: 161, rega0: 41998749, event: 54
ppcnt: 162, rega0: 41998749, event: 54
ppcnt: 163, rega0: 41998748, event: 54
ppcnt: 164, rega0: 41998750, event: 54
ppcnt: 165, rega0: 41998748, event: 55
ppcnt: 166, rega0: 41998749, event: 56
ppcnt: 167, rega0: 41998749, event: 54
ppcnt: 168, rega0: 41998749, event: 55
ppcnt: 169, rega0: 41998749, event: 54
ppcnt: 170, rega0: 41998749, event: 54
ppcnt: 171, rega0: 41998748, event: 54
ppcnt: 172, rega0: 41998749, event: 54
ppcnt: 173, rega0: 41998749, event: 55
ppcnt: 174, rega0: 41998749, event: 54
ppcnt: 175, rega0: 41998749, event: 54
ppcnt: 176, rega0: 41998748, event: 55
ppcnt: 177, rega0: 41998749, event: 54
ppcnt: 178, rega0: 41998749, event: 54
ppcnt: 179, rega0: 41998749, event: 54
ppcnt: 180, rega0: 41998749, event: 54
ppcnt: 181, rega0: 41998749, event: 54
ppcnt: 182, rega0: 41998748, event: 54
ppcnt: 183, rega0: 41998749, event: 54
ppcnt: 184, rega0: 41998748, event: 54
ppcnt: 185, rega0: 41998749, event: 54
ppcnt: 186, rega0: 41998749, event: 54
ppcnt: 187, rega0: 41998749, event: 54
ppcnt: 188, rega0: 41998749, event: 54
ppcnt: 189, rega0: 41998749, event: 54
ppcnt: 190, rega0: 41998748, event: 54
ppcnt: 191, rega0: 41998749, event: 55
ppcnt: 192, rega0: 41998748, event: 54
ppcnt: 193, rega0: 41998749, event: 54
ppcnt: 194, rega0: 41998748, event: 54
ppcnt: 195, rega0: 41998748, event: 54
ppcnt: 196, rega0: 41998749, event: 54
ppcnt: 197, rega0: 41998749, event: 54
ppcnt: 198, rega0: 41998748, event: 54
ppcnt: 199, rega0: 41998748, event: 54
ppcnt: 200, rega0: 41998749, event: 54
ppcnt: 201, rega0: 41998748, event: 54
ppcnt: 202, rega0: 41998749, event: 55
ppcnt: 203, rega0: 41998749, event: 54
ppcnt: 204, rega0: 41998748, event: 54
ppcnt: 205, rega0: 41998749, event: 54
ppcnt: 206, rega0: 41998748, event: 54
ppcnt: 207, rega0: 41998748, event: 54
ppcnt: 208, rega0: 41998749, event: 54
ppcnt: 209, rega0: 41998748, event: 54
ppcnt: 210, rega0: 41998749, event: 54
ppcnt: 211, rega0: 41998748, event: 54
ppcnt: 212, rega0: 41998748, event: 54
ppcnt: 213, rega0: 41998749, event: 54
ppcnt: 214, rega0: 41998748, event: 54
ppcnt: 215, rega0: 41998748, event: 54
ppcnt: 216, rega0: 41998749, event: 55
ppcnt: 217, rega0: 41998748, event: 54
ppcnt: 218, rega0: 41998748, event: 54
ppcnt: 219, rega0: 41998749, event: 54
ppcnt: 220, rega0: 41998748, event: 55
ppcnt: 221, rega0: 41998748, event: 54
ppcnt: 222, rega0: 41998748, event: 56
ppcnt: 223, rega0: 41998748, event: 54
ppcnt: 224, rega0: 41998748, event: 54
ppcnt: 225, rega0: 41998748, event: 54
ppcnt: 226, rega0: 41998747, event: 54
ppcnt: 227, rega0: 41998748, event: 54
ppcnt: 228, rega0: 41998748, event: 54
ppcnt: 229, rega0: 41998748, event: 54
ppcnt: 230, rega0: 41998748, event: 54
ppcnt: 231, rega0: 41998747, event: 55
ppcnt: 232, rega0: 41998748, event: 54
ppcnt: 233, rega0: 41998747, event: 54
ppcnt: 234, rega0: 41998748, event: 54
ppcnt: 235, rega0: 41998748, event: 55
ppcnt: 236, rega0: 41998747, event: 55
ppcnt: 237, rega0: 41998748, event: 54
ppcnt: 238, rega0: 41998747, event: 54
ppcnt: 239, rega0: 41998748, event: 54
ppcnt: 240, rega0: 41998747, event: 55
ppcnt: 241, rega0: 41998748, event: 55
ppcnt: 242, rega0: 41998747, event: 54
ppcnt: 243, rega0: 41998748, event: 54
ppcnt: 244, rega0: 41998747, event: 55
ppcnt: 245, rega0: 41998747, event: 54
ppcnt: 246, rega0: 41998747, event: 54
ppcnt: 247, rega0: 41998748, event: 54
ppcnt: 248, rega0: 41998747, event: 54
ppcnt: 249, rega0: 41998747, event: 54
ppcnt: 250, rega0: 41998747, event: 54
ppcnt: 251, rega0: 41998747, event: 55
ppcnt: 252, rega0: 41998747, event: 54
ppcnt: 253, rega0: 41998747, event: 54
ppcnt: 254, rega0: 41998748, event: 54
ppcnt: 255, rega0: 41998746, event: 54
ppcnt: 256, rega0: 41998747, event: 54
ppcnt: 257, rega0: 41998748, event: 55
ppcnt: 258, rega0: 41998747, event: 54
ppcnt: 259, rega0: 41998747, event: 54
ppcnt: 260, rega0: 41998747, event: 54
ppcnt: 261, rega0: 41998747, event: 55
ppcnt: 262, rega0: 41998747, event: 54
ppcnt: 263, rega0: 41998747, event: 54
ppcnt: 264, rega0: 41998747, event: 54
ppcnt: 265, rega0: 41998747, event: 55
ppcnt: 266, rega0: 41998747, event: 54
ppcnt: 267, rega0: 41998747, event: 55
ppcnt: 268, rega0: 41998746, event: 54
ppcnt: 269, rega0: 41998747, event: 54
ppcnt: 270, rega0: 41998747, event: 54
ppcnt: 271, rega0: 41998747, event: 54
ppcnt: 272, rega0: 41998747, event: 54
ppcnt: 273, rega0: 41998746, event: 54
ppcnt: 274, rega0: 41998747, event: 54
ppcnt: 275, rega0: 41998747, event: 55
ppcnt: 276, rega0: 41998747, event: 55
ppcnt: 277, rega0: 41998747, event: 54
ppcnt: 278, rega0: 41998747, event: 55
ppcnt: 279, rega0: 41998746, event: 54
ppcnt: 280, rega0: 41998747, event: 54
ppcnt: 281, rega0: 41998746, event: 54
ppcnt: 282, rega0: 41998747, event: 54
ppcnt: 283, rega0: 41998747, event: 54
ppcnt: 284, rega0: 41998746, event: 54
ppcnt: 285, rega0: 41998747, event: 55
ppcnt: 286, rega0: 41998747, event: 54
ppcnt: 287, rega0: 41998746, event: 54
ppcnt: 288, rega0: 41998747, event: 54
ppcnt: 289, rega0: 41998746, event: 55
ppcnt: 290, rega0: 41998747, event: 54
ppcnt: 291, rega0: 41998747, event: 54
ppcnt: 292, rega0: 41998746, event: 55
ppcnt: 293, rega0: 41998747, event: 54
ppcnt: 294, rega0: 41998747, event: 54
ppcnt: 295, rega0: 41998746, event: 54
ppcnt: 296, rega0: 41998747, event: 54
ppcnt: 297, rega0: 41998746, event: 55
ppcnt: 298, rega0: 41998747, event: 54
ppcnt: 299, rega0: 41998747, event: 54
ppcnt: 300, rega0: 41998746, event: 54
ppcnt: 301, rega0: 41998747, event: 55
ppcnt: 302, rega0: 41998746, event: 55
ppcnt: 303, rega0: 41998747, event: 54
ppcnt: 304, rega0: 41998747, event: 54
ppcnt: 305, rega0: 41998746, event: 54
ppcnt: 306, rega0: 41998747, event: 54
ppcnt: 307, rega0: 41998747, event: 54
ppcnt: 308, rega0: 41998746, event: 54
ppcnt: 309, rega0: 41998747, event: 55
ppcnt: 310, rega0: 41998747, event: 55
ppcnt: 311, rega0: 41998746, event: 55
ppcnt: 312, rega0: 41998747, event: 54
ppcnt: 313, rega0: 41998747, event: 54
ppcnt: 314, rega0: 41998746, event: 54
ppcnt: 315, rega0: 41998747, event: 55
ppcnt: 316, rega0: 41998746, event: 55
ppcnt: 317, rega0: 41998747, event: 54
ppcnt: 318, rega0: 41998747, event: 54
ppcnt: 319, rega0: 41998746, event: 54
ppcnt: 320, rega0: 41998747, event: 54
ppcnt: 321, rega0: 41998747, event: 54
ppcnt: 322, rega0: 41998746, event: 54
ppcnt: 323, rega0: 41998747, event: 54
ppcnt: 324, rega0: 41998747, event: 55
ppcnt: 325, rega0: 41998747, event: 54
ppcnt: 326, rega0: 41998746, event: 54
ppcnt: 327, rega0: 41998747, event: 54
ppcnt: 328, rega0: 41998747, event: 54
ppcnt: 329, rega0: 41998746, event: 54
ppcnt: 330, rega0: 41998746, event: 54
ppcnt: 331, rega0: 41998747, event: 54
ppcnt: 332, rega0: 41998746, event: 54
ppcnt: 333, rega0: 41998747, event: 55
ppcnt: 334, rega0: 41998746, event: 54
ppcnt: 335, rega0: 41998747, event: 54
ppcnt: 336, rega0: 41998746, event: 54
ppcnt: 337, rega0: 41998747, event: 55
ppcnt: 338, rega0: 41998746, event: 55
ppcnt: 339, rega0: 41998747, event: 54
ppcnt: 340, rega0: 41998746, event: 54
ppcnt: 341, rega0: 41998746, event: 55
ppcnt: 342, rega0: 41998747, event: 54
ppcnt: 343, rega0: 41998746, event: 54
ppcnt: 344, rega0: 41998747, event: 55
ppcnt: 345, rega0: 41998746, event: 54
ppcnt: 346, rega0: 41998746, event: 54
ppcnt: 347, rega0: 41998746, event: 54
ppcnt: 348, rega0: 41998747, event: 54
ppcnt: 349, rega0: 41998746, event: 54
ppcnt: 350, rega0: 41998746, event: 54
ppcnt: 351, rega0: 41998746, event: 54
ppcnt: 352, rega0: 41998747, event: 54
ppcnt: 353, rega0: 41998746, event: 54
ppcnt: 354, rega0: 41998746, event: 54
ppcnt: 355, rega0: 41998747, event: 54
ppcnt: 356, rega0: 41998746, event: 54
ppcnt: 357, rega0: 41998746, event: 54
ppcnt: 358, rega0: 41998746, event: 54
ppcnt: 359, rega0: 41998747, event: 54
ppcnt: 360, rega0: 41998746, event: 54
ppcnt: 361, rega0: 41998746, event: 54
ppcnt: 362, rega0: 41998746, event: 54
ppcnt: 363, rega0: 41998746, event: 55
ppcnt: 364, rega0: 41998746, event: 54
ppcnt: 365, rega0: 41998746, event: 55
ppcnt: 366, rega0: 41998747, event: 54
ppcnt: 367, rega0: 41998746, event: 54
